,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Sweden","Data source","All types","","7.30","7.30","7.40","7.40","7.20","7.30","6.90","6.90","6.50","6.50","6.60","6.90","6.90","6.60","6.20"
"Switzerland","Data source","All types","","9.61","9.73","9.86","9.99","10.01","10.15","10.29","10.44","10.24","10.15","10.55","10.82","10.85","11.12","11.26"
"Syrian Arab Republic","Data source","All types","","","","","0.76","0.78","0.81","0.80","0.83","0.97","0.92","0.93","1.29","1.25","1.29","1.41"
"Tajikistan","Data source","All types","","","","","0.32","0.32","0.30","0.32","0.35","0.38","0.37","0.38","0.36","0.60","0.86","0.37"
"Thailand","Data source","All types","","6.41","6.50","6.56","6.07","5.95","5.88","5.92","6.20","6.18","6.26","6.17","6.14","5.93","5.92","5.88"
"The former Yugoslav republic of Macedonia","Data source","All types","","1.13","1.03","1.23","1.16","1.47","1.77","1.72","1.75","1.74","1.75","2.07","2.40","2.53","3.27","2.86"
"Timor-Leste","Data source","All types","","","","","0.50","0.10","0.09","0.06","0.05","0.04","0.36","0.38","0.44","0.48","0.50","0.50"
"Togo","Data source","All types","","","","","1.44","1.21","1.24","1.33","1.37","1.37","1.14","1.01","1.02","1.00","0.95","1.10"
"Tonga","Data source","All types","","","","","0.96","1.24","1.08","1.10","2.05","1.79","1.57","1.80","1.79","1.51","1.35","1.24"
"Trinidad and Tobago","Data source","All types","","6.94","6.71","6.70","6.50","6.50","6.37","6.41","6.37","6.35","6.12","5.82","5.53","5.12","4.55","4.68"
"Tunisia","Data source","All types","","1.39","1.29","1.30","1.29","1.28","1.40","1.37","1.24","1.46","1.37","1.36","1.34","1.17","1.19","1.21"
"Turkey","Data source","All types","","1.45","1.41","1.54","1.53","1.49","1.40","1.39","1.26","1.29","1.29","1.35","1.42","1.47","1.49","1.54"
"Turkmenistan","Data source","All types","","2.90","2.93","2.75","2.55","2.48","2.35","2.40","2.58","2.71","2.85","2.86","2.88","2.33","2.35","2.90"
"Tuvalu","Data source","All types","","","","","1.34","1.02","1.31","1.05","0.59","1.37","0.94","1.83","1.41","0.54","1.98","1.16"
"Uganda","Data source","All types","","","","","10.22","10.03","9.63","9.79","9.65","9.81","10.09","9.89","10.16","10.42","10.57","10.47"
"Ukraine","Data source","All types","","8.06","8.44","8.44","8.48","8.39","8.71","9.46","8.86","7.99","7.31","6.79","5.92","4.89","4.31","4.49"
"United Arab Emirates","Data source","All types","","1.91","1.82","1.75","1.73","1.69","1.73","1.86","1.69","1.74","1.79","1.77","1.74","1.72","1.67","1.64"
"United Kingdom of Great Britain and Northern Ireland","Data source","All types","10.66","10.37","10.32","10.42","10.68","10.88","10.79","11.47","11.84","11.61","12.05","12.22","11.85","11.44","10.91","10.59"
"United Republic of Tanzania","Data source","All types","","","4.20","3.98","4.04","4.19","3.97","3.44","4.40","4.07","3.94","3.81","2.34","3.37","4.09","3.89"
"United States of America","Data source","All types","","8.82","8.82","8.82","8.67","8.55","8.71","8.74","8.74","8.63","8.52","8.48","8.40","8.33","8.25","8.21"
"Uruguay","Data source","All types","","6.03","5.82","5.77","5.97","6.21","6.67","6.76","6.67","6.58","6.35","5.66","5.11","5.86","6.48","6.65"
"Uzbekistan","Data source","All types","","","","","2.83","2.73","2.56","2.36","2.15","1.96","1.78","1.59","1.54","1.47","1.53","1.60"
"Vanuatu","Data source","All types","","","","","0.85","0.91","0.83","1.18","1.01","1.00","0.88","0.85","1.20","1.24","0.91","1.21"
"Venezuela (Bolivarian Republic of)","Data source","All types","","6.47","6.71","6.70","6.74","7.22","7.59","8.18","8.70","8.27","7.92","7.55","6.30","6.89","8.05","8.01"
"Viet Nam","Data source","All types","","4.09","4.00","4.12","3.94","3.93","3.86","3.58","3.01","2.56","2.70","2.86","2.19","2.03","1.84","1.60"
"Yemen","Data source","All types","","","0.04","0.04","0.04","0.06","0.03","0.04","0.05","0.04","0.04","0.06","0.04","0.07","0.08","0.07"
"Zambia","Data source","All types","","","2.41","2.59","2.57","2.47","2.30","2.12","2.08","2.25","2.33","2.46","2.33","2.44","2.61","2.62"
"Zimbabwe","Data source","All types","","6.50","6.39","6.09","6.00","5.21","4.64","3.56","3.88","4.57","4.14","4.36","4.06","4.43","1.72","1.68"
